Network,NTPminusSYS,SNTPminusSYS,Delay,RuntimeNTPOrder,PPStoUART,Sats
WiFi,0.194,-8.175,15.519,NTPfirst,143762.0,7
WiFi,0.334,-6.161,13.273,NTPfirst,141638.0,7
WiFi,1.858,-9.992,30.91,NTPfirst,145101.0,7
WiFi,-93.197,-85.636,303.031,NTPfirst,135612.0,7
WiFi,0.586,-4.578,9.92,NTPfirst,144835.0,7
WiFi,0.1,-7.279,15.352,NTPfirst,126443.0,6
WiFi,0.152,-6.498,15.415,NTPfirst,133216.0,7
WiFi,1.122,-6.516,17.96,NTPfirst,137175.0,6
WiFi,1.981,-8.938,18.852,NTPfirst,138412.0,6
WiFi,1.813,-8.134,16.938,NTPfirst,142533.0,7
WiFi,-90.713,-149.667,286.566,NTPfirst,149576.0,6
WiFi,-3.629,-6.816,25.948,NTPfirst,151495.0,8
WiFi,-0.121,-6.831,15.38,NTPfirst,164476.0,9
WiFi,-0.882,-15.944,31.52,NTPfirst,137140.0,7
WiFi,-88.06,-166.965,325.755,NTPfirst,153707.0,8
WiFi,-81.659,-135.057,312.725,NTPfirst,172332.0,10
WiFi,0.528,-6.879,14.601,NTPfirst,145309.0,7
WiFi,-0.151,-9.743,15.316,NTPfirst,168345.0,10
WiFi,-1.972,-5.446,14.289,NTPfirst,147243.0,8
WiFi,0.215,-6.633,14.961,NTPfirst,160074.0,9
WiFi,1.526,-9.028,20.732,NTPfirst,162723.0,9
WiFi,1.989,-4.896,12.606,NTPfirst,167330.0,9
WiFi,1.413,-6.242,13.827,NTPfirst,146486.0,8
WiFi,2.686,-6.514,17.984,NTPfirst,143403.0,7
WiFi,2.236,-7.847,18.795,NTPfirst,152970.0,8
WiFi,-2.542,-18.657,26.362,NTPfirst,154637.0,8
WiFi,0.517,-6.597,14.336,NTPfirst,163761.0,9
WiFi,-0.295,-9.845,16.124,NTPfirst,170459.0,10
WiFi,-0.069,-18.985,35.868,NTPfirst,172921.0,10
WiFi,-0.605,-19.252,38.689,NTPfirst,169976.0,10
WiFi,-3.107,-12.352,22.596,NTPfirst,173044.0,10
WiFi,2.026,-11.851,13.576,NTPfirst,155342.0,8
WiFi,2.0,-7.435,18.471,NTPfirst,71802.0,4
WiFi,0.821,-8.593,18.258,NTPfirst,153801.0,9
WiFi,-1.165,-9.776,22.217,NTPfirst,160642.0,9
WiFi,-0.757,-7.764,17.519,NTPfirst,187177.0,7
WiFi,2.687,-4.409,18.514,NTPfirst,221654.0,7
WiFi,2.531,-4.854,18.583,NTPfirst,228394.0,8
WiFi,-30.427,-36.64,12.439,NTPfirst,138475.0,5
WiFi,3.362,-1.437,11.161,NTPfirst,211349.0,7
WiFi,2.179,-6.284,11.862,NTPfirst,227806.0,9
WiFi,3.22,-16.034,15.021,NTPfirst,219506.0,9
WiFi,3.313,-5.508,16.935,NTPfirst,206295.0,8
WiFi,3.168,-4.504,17.727,NTPfirst,231275.0,9
WiFi,1.326,-9.7,19.989,NTPfirst,256778.0,11
WiFi,3.652,-5.088,16.16,NTPfirst,240265.0,9
WiFi,3.613,-4.534,15.983,NTPfirst,231121.0,9
WiFi,3.213,-4.729,16.524,NTPfirst,313006.0,8
WiFi,2.937,-4.522,15.878,NTPfirst,214777.0,9
WiFi,0.444,-7.104,22.522,NTPfirst,186261.0,7
WiFi,0.657,-10.353,21.762,NTPfirst,246643.0,10
WiFi,3.068,-2.621,15.488,NTPfirst,219186.0,10
WiFi,3.77,-4.533,15.937,NTPfirst,238711.0,11
WiFi,1.316,-10.115,20.051,NTPfirst,236316.0,9
WiFi,3.798,-4.469,14.54,NTPfirst,258817.0,10
WiFi,1.709,-6.705,19.881,NTPfirst,254385.0,10
WiFi,4.074,-3.71,14.832,NTPfirst,245201.0,9
WiFi,5.015,-3.904,17.836,NTPfirst,242437.0,8
WiFi,6.021,-3.232,21.395,NTPfirst,212432.0,7
WiFi,3.308,-4.079,14.077,NTPfirst,221473.0,7
WiFi,2.716,-3.294,20.744,NTPfirst,216518.0,7
WiFi,0.661,-3.592,20.566,NTPfirst,258082.0,9
WiFi,4.853,-3.557,16.723,NTPfirst,252712.0,8
WiFi,3.066,-2.448,13.522,NTPfirst,261233.0,9
WiFi,2.796,-2.327,17.123,NTPfirst,250300.0,8
WiFi,4.086,-3.917,18.034,NTPfirst,222051.0,8
WiFi,3.75,-2.942,12.725,NTPfirst,247618.0,9
WiFi,1.319,-4.656,15.669,NTPfirst,230998.0,7
WiFi,4.832,-3.331,21.943,NTPfirst,236565.0,8
WiFi,5.742,-3.494,18.081,NTPfirst,211500.0,7
WiFi,-1.36,-16.915,30.713,NTPfirst,202100.0,7
WiFi,-0.055,-16.567,31.689,NTPfirst,235118.0,8
WiFi,5.272,-3.659,18.345,NTPfirst,246006.0,9
WiFi,4.34,-5.181,22.08,NTPfirst,235961.0,8
WiFi,3.638,-4.275,15.906,NTPfirst,220780.0,9
WiFi,3.812,-5.031,16.05,NTPfirst,236432.0,11
WiFi,0.783,-9.882,21.023,NTPfirst,236952.0,7
WiFi,5.889,-3.384,17.833,NTPfirst,222776.0,9
WiFi,1.848,-4.141,12.288,NTPfirst,248492.0,11
WiFi,2.098,-2.883,16.807,NTPfirst,203497.0,7
WiFi,4.369,-5.106,17.96,NTPfirst,198098.0,8
WiFi,3.28,-4.493,13.216,NTPfirst,204774.0,8
WiFi,2.713,-3.043,16.097,NTPfirst,213110.0,9
WiFi,3.159,-3.103,14.624,NTPfirst,211991.0,9
WiFi,3.467,-3.414,13.155,NTPfirst,205895.0,8
WiFi,1.929,-7.493,14.286,NTPfirst,197619.0,8
WiFi,-1.408,-5.043,19.456,NTPfirst,197589.0,8
WiFi,-66.758,-267.775,253.896,NTPfirst,213061.0,9
WiFi,3.566,-231.413,21.506,NTPfirst,206097.0,9
WiFi,-80.25,-203.713,254.401,NTPfirst,197774.0,9
WiFi,3.922,-4.725,17.742,NTPfirst,188302.0,8
WiFi,6.256,-14.881,47.138,NTPfirst,201659.0,10
WiFi,-15.094,-34.089,39.126,NTPfirst,214222.0,9
WiFi,0.51,-22.853,15.744,NTPfirst,171555.0,8
WiFi,0.333,-7.506,16.068,NTPfirst,187796.0,8
WiFi,3.631,-2.333,13.137,NTPfirst,207852.0,8
WiFi,3.767,-5.901,13.132,NTPfirst,199507.0,9
WiFi,1.491,-4.4,15.997,NTPfirst,198080.0,8
WiFi,5.186,-3.406,19.329,NTPfirst,206136.0,7
WiFi,1.228,-5.032,14.544,NTPfirst,198097.0,7
WiFi,1.369,-5.73,13.861,NTPfirst,196755.0,7
WiFi,4.862,-7.392,21.747,NTPfirst,239764.0,9
WiFi,-47.744,-154.809,195.67,NTPfirst,208634.0,8
WiFi,2.292,-16.127,33.847,NTPfirst,237176.0,11
WiFi,3.802,-1.08,11.973,NTPfirst,232777.0,10
WiFi,2.893,-3.528,14.461,NTPfirst,215600.0,9
WiFi,3.247,-5.113,15.724,NTPfirst,245440.0,10
WiFi,3.72,-1.477,10.054,NTPfirst,230582.0,9
WiFi,4.177,-3.522,17.316,NTPfirst,210864.0,9
WiFi,3.282,-4.463,15.445,NTPfirst,203458.0,9
WiFi,2.804,-6.598,19.776,NTPfirst,219954.0,9
WiFi,3.098,-5.61,19.244,NTPfirst,208932.0,8
WiFi,-1.304,-6.758,18.097,NTPfirst,175593.0,8
WiFi,1.776,-4.04,18.465,NTPfirst,211824.0,7
WiFi,-32.021,-270.43,329.11,NTPfirst,198098.0,6
WiFi,4.954,-2.724,15.035,NTPfirst,213253.0,8
WiFi,3.885,-5.12,13.094,NTPfirst,326078.0,9
WiFi,3.442,-11.976,34.44,NTPfirst,226190.0,9
WiFi,3.283,-13.452,34.405,NTPfirst,234699.0,9
WiFi,3.699,-2.623,12.151,NTPfirst,214778.0,9
