networkClass,connectivity,timeDifferenceTo1PPSms
Broadband,WiFi,3.635
Broadband,WiFi,2.356
Broadband,WiFi,-0.544
Broadband,WiFi,-10.918
Broadband,WiFi,2.742
Broadband,WiFi,2.651
Broadband,WiFi,4.081
Broadband,WiFi,-0.879
Broadband,WiFi,3.44
Broadband,WiFi,3.398
Broadband,WiFi,4.036
Broadband,WiFi,4.101
Broadband,WiFi,-0.296
Broadband,WiFi,3.131
Broadband,WiFi,3.91
Broadband,WiFi,-0.472
Broadband,WiFi,4.007
Broadband,WiFi,2.677
Broadband,WiFi,5.136
Broadband,WiFi,3.641
Broadband,WiFi,5.905
Broadband,WiFi,4.212
Broadband,WiFi,-1.356
Broadband,WiFi,0.017
Broadband,WiFi,-0.014
Broadband,WiFi,-1.416
Broadband,WiFi,-1.585
Broadband,WiFi,-0.109
Broadband,WiFi,-1.718
Broadband,WiFi,5.266
Broadband,WiFi,-127.176
Broadband,WiFi,-1.073
Broadband,WiFi,0.365
Broadband,WiFi,4.215
Broadband,WiFi,1.17
Broadband,WiFi,2.649
Broadband,WiFi,7.389
Broadband,WiFi,-0.075
Broadband,WiFi,-26.448
Broadband,WiFi,-2.221
Broadband,WiFi,-2.362
Broadband,WiFi,-0.13
Broadband,WiFi,1.363
Broadband,WiFi,0.645
Broadband,WiFi,0.482
Broadband,WiFi,4.405
Broadband,WiFi,0.931
Broadband,WiFi,0.08
Broadband,WiFi,1.78
Broadband,WiFi,5.049
Broadband,WiFi,1.006
Broadband,WiFi,4.585
Broadband,WiFi,1.543
Broadband,WiFi,4.38
Broadband,WiFi,5.411
Broadband,WiFi,-1.832
Broadband,WiFi,-17.022
Broadband,WiFi,1.408
Broadband,WiFi,-1.785
Broadband,WiFi,3.309
Broadband,WiFi,2.558
Broadband,WiFi,2.759
Broadband,WiFi,0.749
Broadband,WiFi,-28.731
Broadband,WiFi,2.382
Broadband,WiFi,-79.773
Broadband,WiFi,-61.205
Broadband,WiFi,-52.34
Broadband,WiFi,-0.182
Broadband,WiFi,-0.306
Broadband,WiFi,0.42
Broadband,WiFi,1.551
Broadband,WiFi,-14.868
Broadband,WiFi,-81.778
Broadband,WiFi,-2.406
Broadband,WiFi,-3.737
Broadband,WiFi,-2.907
Broadband,WiFi,-0.028
Broadband,WiFi,1.391
Broadband,WiFi,0.616
Broadband,WiFi,-0.064
Broadband,WiFi,-2.19
Broadband,WiFi,-1.464
Broadband,WiFi,-0.181
Broadband,WiFi,-0.393
Broadband,WiFi,8.943
Broadband,WiFi,9.21
Broadband,WiFi,-1.695
Broadband,WiFi,-1.271
Broadband,WiFi,-2.508
Broadband,WiFi,-1.031
Broadband,WiFi,-1.677
Broadband,WiFi,0.957
Broadband,WiFi,-0.013
Broadband,WiFi,-3.83
Broadband,WiFi,-2.515
Broadband,WiFi,4.064
Broadband,WiFi,-34.867
Broadband,WiFi,2.724
Broadband,WiFi,-2.002
Broadband,WiFi,-2.053
Broadband,WiFi,1.336
Broadband,WiFi,-1.502
Broadband,WiFi,0.511
Broadband,WiFi,1.043
Broadband,WiFi,2.523
Broadband,WiFi,3.487
Broadband,WiFi,0.349
Broadband,WiFi,1.539
Broadband,WiFi,0.934
Broadband,WiFi,-1.407
Broadband,WiFi,-0.004
Broadband,WiFi,-0.653
Broadband,WiFi,-4.003
Broadband,WiFi,1.27
Broadband,WiFi,-1.725
Broadband,WiFi,-1.713
Broadband,WiFi,-4.36
Broadband,WiFi,-22.904
Broadband,WiFi,2.54
Broadband,WiFi,2.547
Broadband,WiFi,-0.491
Broadband,WiFi,0.707
Broadband,WiFi,-4.057
Broadband,WiFi,1.379
Broadband,WiFi,-0.237
Broadband,WiFi,-0.096
Broadband,WiFi,-25.532
Broadband,WiFi,0.506
Broadband,WiFi,1.499
Broadband,WiFi,-0.196
Broadband,WiFi,-0.013
Broadband,WiFi,1.258
Broadband,WiFi,0.334
Broadband,WiFi,0.919
Broadband,WiFi,0.566
Broadband,WiFi,0.559
Broadband,WiFi,1.467
Broadband,WiFi,-1.371
Broadband,WiFi,2.636
Broadband,WiFi,0.428
Broadband,WiFi,-9.068
Broadband,WiFi,0.671
Broadband,WiFi,0.3
